sig_z,longitude_mm,latitude_mm,risk_encoded
-0.43826581421454136,0.40209779501837506,0.17859457539841078,1
0.5807507463622748,0.48856165781951777,0.11762329648865805,1
-0.6391986571451812,0.537132503062475,0.2839570293425668,0
-0.23733297128390157,0.49306859942833814,0.13521995827229547,0
0.164532714577378,0.4152204981625154,0.1851111998934612,1
0.164532714577378,0.40444058799509985,0.17833710658321128,1
0.164532714577378,0.4032002858309509,0.17405335819239137,1
0.3654655575080178,0.4100398121682316,0.17655258134682827,1
-0.23733297128390157,0.4136484279297674,0.18667376925467222,1
0.3654655575080178,0.40796243364638585,0.17609979136147735,1
0.164532714577378,0.4046243364638631,0.18061881297997961,1
0.164532714577378,0.40570130665577775,0.1741554578949705,1
0.5951030922858919,0.40509902000816655,0.17896302215119636,2
-0.23733297128390157,0.5631073907717434,0.08780574421804946,1
-0.23733297128390157,0.19562066149448754,0.07116349269765171,1
0.164532714577378,0.5904654961208662,0.17498557286811384,1
-0.43826581421454136,0.5915322580645164,0.13844275757979316,0
0.5807507463622748,0.46389342588811733,0.09028277178496916,2
-0.23733297128390157,0.5477286647611272,0.05280774182092601,1
0.37981790343163496,0.5166037158023684,0.3335020197984641,0
0.164532714577378,0.5335749285422615,0.2170195765081902,1
-0.6248463112215641,0.5185841159656999,0.33826075376215214,0
0.164532714577378,0.20036239281339263,0.6056598748168865,1
0.164532714577378,0.5594528378930175,0.22743374617126116,1
0.5951030922858919,0.569191506737444,0.21857770675189775,2
-0.03640012835326178,0.5791904859126173,0.21929240466995165,1
0.5807507463622748,0.557492854226215,0.216846450925556,1
0.5807507463622748,0.5709320130665585,0.21755227060860305,2
-0.43826581421454136,0.5308340138832177,0.3283615217294802,1
0.3654655575080178,0.5736116782360146,0.15055710924668175,1
0.3654655575080178,0.5964883625969781,0.11185688285168907,0
-0.6391986571451812,0.5180634953042054,0.32090824344120394,0
0.8390929729873831,0.557804205798285,0.2364762285257691,2
0.5807507463622748,0.5944007758268688,0.11093798552847695,1
-0.23733297128390157,0.5612239689669254,0.16836240955298093,0
